OBJECTID,X,Y,Latitude,Longitude,Date,AnimalType,Crash_Seve,County,Crash_Date_Original,Crash_Time_Original,Crash_Time,Primary_St,Distance,Dir,Secondary_,Weather,Fatalities,Injured,Property_D,Injury_Typ,Crash_Type,Total_Vehi,V1_Type,V1_Dir,V1_Driver_,V1_Lane_Nu,V1_Action,V1_Driver1,V1_Drive_1,V1_Vehicle,V1_Most_Ha,V1_All_Eve,V2_Type,V2_Dir,V2_Driver_,V2_Lane_Nu,V2_Action,V2_Driver1,V2_Drive_1,V2_Vehicle,V2_Most_Ha,V2_All_Eve,First_Harm,Nonmotoris,Factors_Ro,Lighting,HWY_Factor,Agency,Accident_R,Pedalcycli,Pedestrian,Motorcycli,CrashDateT,GlobalID
356318,711065.5353,4294135.681,38.77,-114.6,2016-10-12,DEER,INJURY CRASH,WHITE PINE,Wed Oct 12 00:00:00 PDT 2016,Sun Dec 31 18:10:00 PST 1899,18:10:00,US93N,1584,N,MILE MARKER 7,CLEAR,-9999,1,Null,C,NON-COLLISION,1,SEDAN,N,72,1,GOING STRAIGHT,APPARENTLY NORMAL,Null,DROVE LEFT OF CENTER: OBJECT AVOIDANCE,Null,DEER: RAN OFF ROAD RIGHT: RAN OFF ROAD LEFT,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,DRY,DUSK,ANIMAL IN ROADWAY,NHP,2338375,Null,Null,Null,2016-10-13T01:10:00.000Z,{66F0D1F1-CD74-4F4D-976B-33204E0E06FB}
363658,268952.8188,4343711.683,39.21,-119.7,2016-10-19,HORSE,PROPERTY DAMAGE ONLY,LYON,Wed Oct 19 00:00:00 PDT 2016,Sun Dec 31 19:42:00 PST 1899,19:42:00,US50,200,E,RED ROCK RD,CLEAR,-9999,-9999,PDO,Null,REAR-END,2,UTILITY,E,42,1,GOING STRAIGHT,APPARENTLY NORMAL,Null,FOLLOWED TOO CLOSELY,Null,SLOW/STOPPED VEHICLE,COUPE,E,24,1,STOPPED,APPARENTLY NORMAL,Null,Null,Null,HORSE,Null,Null,DRY,DARK - SPOT LIGHTING,ANIMAL IN ROADWAY,NHP,2338844,Null,Null,Null,2016-10-20T02:42:00.000Z,{D0DD0B6A-EBB6-4196-8813-B4DA0AC25A48}
355423,670813.7008,4289112.042,38.73,-115,2016-10-19,DEER,PROPERTY DAMAGE ONLY,WHITE PINE,Wed Oct 19 00:00:00 PDT 2016,Sun Dec 31 18:30:00 PST 1899,18:30:00,SR318,528,N,MILE MARKER 2,CLEAR,-9999,-9999,PDO,Null,NON-COLLISION,1,HATCHBACK/FASTBACK,S,54,1,GOING STRAIGHT,APPARENTLY NORMAL,Null,Null,Null,DEER,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,DRY,DARK - NO LIGHTING,ANIMAL IN ROADWAY,NHP,2338845,Null,Null,Null,2016-10-20T01:30:00.000Z,{D0ED4DC3-7189-49AA-B85F-2608C3DCDAF7}
359798,682135.1332,4573141.246,41.29,-114.8,2016-10-19,DEER,PROPERTY DAMAGE ONLY,ELKO,Wed Oct 19 00:00:00 PDT 2016,Sun Dec 31 08:00:00 PST 1899,8:00:00,US93N,1056,N,MILE MARKER 89,CLEAR,-9999,-9999,PDO,Null,NON-COLLISION,1,"SEDAN, 4 DOOR",S,82,1,GOING STRAIGHT,APPARENTLY NORMAL,Null,Null,Null,DEER,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,DRY,DAYLIGHT,ANIMAL IN ROADWAY,NHP,2338809,Null,Null,Null,2016-10-19T15:00:00.000Z,{7DAA72E2-AE4C-4286-AFAA-922D5A4E2512}
360081,703407.1875,4550219.5,41.08,-114.6,2016-10-19,DEER,PROPERTY DAMAGE ONLY,ELKO,Wed Oct 19 00:00:00 PDT 2016,Sun Dec 31 22:26:00 PST 1899,22:26:00,IR80E,528,W,MILE MARKER 95,CLEAR,-9999,-9999,PDO,Null,NON-COLLISION,1,SEDAN,E,49,1,GOING STRAIGHT,APPARENTLY NORMAL,Null,Null,Null,DEER,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,DRY,DARK - NO LIGHTING,ANIMAL IN ROADWAY,NHP,2338850,Null,Null,Null,2016-10-20T05:26:00.000Z,{1E9DB1CE-5D63-47A1-8C14-684792036E8B}
413205,674646.0246,4193856.126,37.88,-115,2016-10-19,COYOTE,PROPERTY DAMAGE ONLY,LINCOLN,Wed Oct 19 00:00:00 PDT 2016,Sun Dec 31 09:45:00 PST 1899,9:45:00,SR318,528,S,MILE MARKER 29,CLEAR,-9999,-9999,PDO,Null,NON-COLLISION,1,"HARDTOP, 4 DOOR",S,28,1,GOING STRAIGHT,APPARENTLY NORMAL,Null,Null,Null,DOG/COYOTE: RAN OFF ROAD RIGHT: RAN OFF ROAD LEFT,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,DRY,DAYLIGHT,ANIMAL IN ROADWAY,NHP,2338813,Null,Null,Null,2016-10-19T16:45:00.000Z,{324FAF85-D7A0-4384-B5A0-8B80EAC96F1C}
364911,269931.8754,4344073.819,39.22,-119.7,2016-10-26,HORSE,PROPERTY DAMAGE ONLY,LYON,Wed Oct 26 00:00:00 PDT 2016,Sun Dec 31 18:49:00 PST 1899,18:49:00,US50,100,E,MILE MARKER 1,CLOUDY,-9999,-9999,PDO,Null,NON-COLLISION,1,"SEDAN, 4 DOOR",E,28,2,GOING STRAIGHT,APPARENTLY NORMAL,Null,Null,Null,HORSE,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,DRY,DARK - NO LIGHTING,ANIMAL IN ROADWAY,NHP,2339260,Null,Null,Null,2016-10-27T01:49:00.000Z,{D7910D08-E657-4723-890E-DE56BB2CB19E}
360082,603072.8239,4521662.409,40.84,-115.8,2016-10-26,DEER,PROPERTY DAMAGE ONLY,ELKO,Wed Oct 26 00:00:00 PDT 2016,Sun Dec 31 19:00:00 PST 1899,19:00:00,IR80E,528,W,MILE MARKER 24,CLEAR,-9999,-9999,PDO,Null,NON-COLLISION,1,PICKUP,E,45,1,GOING STRAIGHT,APPARENTLY NORMAL,Null,Null,Null,DEER,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,DRY,DUSK,ANIMAL IN ROADWAY,NHP,2339262,Null,Null,Null,2016-10-27T02:00:00.000Z,{9B1A3AB8-C0F8-4C21-BE61-AAE99AECC619}
368491,649400.0885,4549796.747,41.09,-115.2,2016-10-26,DEER,PROPERTY DAMAGE ONLY,ELKO,Wed Oct 26 00:00:00 PDT 2016,Sun Dec 31 08:00:00 PST 1899,8:00:00,IR80E,0,Null,MILE MARKER 60,CLEAR,-9999,-9999,PDO,Null,NON-COLLISION,1,SEMI,E,48,1,GOING STRAIGHT,APPARENTLY NORMAL,Null,OBJECT AVOIDANCE,Null,DEER,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,DRY,DARK - NO LIGHTING,ANIMAL IN ROADWAY,NHP,2339226,Null,Null,Null,2016-10-26T15:00:00.000Z,{25479991-282B-4AE8-8EAB-D21D02B767DC}
337017,403111.493,4186190.077,37.82,-118.1,2016-09-07,CATTLE,PROPERTY DAMAGE ONLY,ESMERALDA,Wed Sep 07 00:00:00 PDT 2016,Sun Dec 31 20:40:00 PST 1899,20:40:00,SR264,0,Null,MILE MARKER 19,CLEAR,-9999,-9999,PDO,Null,NON-COLLISION,1,"HATCHBACK, 4 DOOR",S,-9999,1,GOING STRAIGHT,APPARENTLY NORMAL,Null,UNKNOWN,Null,CATTLE,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,DARK - NO LIGHTING,ANIMAL IN ROADWAY,ESSO,2316477,Null,Null,Null,2016-09-08T03:40:00.000Z,{AC931F14-F949-42DF-975C-B72EBCDD4EF3}
