X,Y,OBJECTID,ReportDate,Region,County,Locale,Sex,AgeClass,Weight,Cubs,Yearlings,BearID,SubType,RoadDate,BMU,ZipCode,Location,Latitude,Longitude,OrigCap,Age,LEarTag1,LEarTag2,REarTag1,REarTag2,Tattoo1,Tattoo2,TrackNum,last_edited_date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-81.583820000268702,28.711320000112718,10925,2013-10-10T00:00:00.000Z,Northeast,Orange,Apopka Airport,Male,Juvenile,165, ,0,Bear-0000009967,Capture,2013-10-10T00:00:00.000Z,Central,32712, ,28.71132,-81.58382,Yes,3, , , , , , ,52082,2019-04-29T14:20:33.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-82.675689000331943,30.24668999965882,10926,2007-12-13T00:00:00.000Z,North Central,Columbia,Winfield,Female,Juvenile,123, ,0,Bear-0000009968,Capture,2007-12-13T00:00:00.000Z,North, ,"On SR 41, just north of I-10, south of falling creek rd.",30.24669,-82.675689,Yes,2, , , , , , , ,2019-04-29T14:20:33.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-81.023124000356958,26.434123999688897,10927,2015-01-14T00:00:00.000Z,South,Hendry, ,Male,Adult,200, ,0,Bear-0000009969,Capture,2015-01-14T00:00:00.000Z,South,33440,McDaniel's Ranch,26.434124,-81.023124,Yes,12, , , , , , ,62507,2019-04-29T14:20:33.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-81.429909999621842,28.815429999997107,10928,2005-08-17T00:00:00.000Z,Northeast,Lake,46 Wekiva,Female,Adult,142, ,0,Bear-0000009970,Capture,2005-08-17T00:00:00.000Z,Central, ,SR 46 near Wekiva bridge,28.81543,-81.42991,Yes,4, , , , , , ,17841,2019-04-29T14:20:33.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-82.008519999910263,29.130570000085516,10929,2009-12-17T00:00:00.000Z,Northeast,Marion, ,Male,Cub,72, ,0,Bear-0000009971,Capture,2009-12-17T00:00:00.000Z,Central, ,CR 315 and SR 40 GPS recorded as 29 13.057 82 00.852,29.13057,-82.00852,Yes,0.83, , , , , , , ,2019-04-29T14:20:33.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-81.265082999702543,27.218049999768162,10930,2005-05-17T00:00:00.000Z,Southwest,Highlands,SE of Lake Placid,Male,Adult,340, ,0,Bear-0000009972,Capture,2005-05-17T00:00:00.000Z,South Central,33852,"Scarborough RAnch/Highlands Turf Co., NE corner of SR 70 and CR 29.",27.21805,-81.265083,Yes,15, , , , , , , ,2019-04-29T14:20:33.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-81.755786,29.629740999853652,10931,2005-08-01T00:00:00.000Z,Northeast,Putnam,"Hollister, FL",Male,Adult,315, ,0,Bear-0000009973,Capture,2005-08-01T00:00:00.000Z,Central, ,"SR 20, 3/4 mile East of Rice Creek Bridge",29.629741,-81.755786,No,11, , , , ,R92, ,"17719; 17720, 15266",2019-04-29T14:20:33.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-84.499170000410899,29.980310000033292,10932,2013-12-20T00:00:00.000Z,Northwest,Franklin, ,Female,Adult,150, ,0,Bear-0000009975,Capture,2013-12-20T00:00:00.000Z,East Panhandle, ,Hwy 319 & McIntyre Rd,29.98031,-84.49917,Yes,0, , , , , , ,54120,2019-04-29T14:20:33.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-81.41293000010397,29.006019999673715,10933,2007-07-21T00:00:00.000Z,Northeast,Lake,CR 42,Male,Juvenile,150, ,0,Bear-0000009976,Capture,2007-07-21T00:00:00.000Z,Central, ,CR 42 1.7 miles west of SR 44,29.00602,-81.41293,Yes,3, , , , , , ,22690,2019-04-29T14:20:33.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-81.344889999686927,26.129430000244867,10934,2012-07-23T00:00:00.000Z,South,Collier,Copeland,Male,Juvenile,160, ,0,Bear-0000009977,Capture,2013-07-21T00:00:00.000Z,South, ,SR 29 1.5 mile south of I-75,26.12943,-81.34489,Yes,0, , , , , , ,42531,2019-04-29T14:20:33.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-81.558465999995363,26.152761000079746,10935,2014-06-21T00:00:00.000Z,South,Collier,NAPLES,Male,Juvenile,185, ,0,Bear-0000009978,Capture,2014-06-21T00:00:00.000Z,South, ,"MM93, I-75, Southbound shoulder of the road",26.152761,-81.558466, ,1, , , , , , ,56694,2019-04-29T14:20:33.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-81.84694000011126,29.147719999666574,10936,2008-03-21T00:00:00.000Z,Northeast,Marion,Ocala N.F.,Male,Juvenile,81, ,0,Bear-0000009979,Capture,2008-03-21T00:00:00.000Z,Central, ,"2 miles south of SR 40 on SE 183rd st at 4030 SE 183rd Ave, Ocklawaha",29.14772,-81.84694,Yes,1, , , , , , , ,2019-04-29T14:20:33.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-83.322970000150832,29.770022999996382,10937,2005-11-21T00:00:00.000Z,North Central,Dixie,US 19 S.,Male,Adult,325, ,0,Bear-0000009980,Capture,2005-11-21T00:00:00.000Z,Big Bend,32348,One mile south of Steinhatchee River on US 19,29.770023,-83.32297,Yes,5, , , , , , , ,2019-04-29T14:20:33.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-85.502050000170527,30.001809999613993,10938,2011-08-22T00:00:00.000Z,Northwest,Bay,Tyndall AFB,Male,Cub,20, ,0,Bear-0000009981,Capture,2011-08-22T00:00:00.000Z,East Panhandle,32403,"Highway 98, 200 yards west of Silver Flag Road",30.00181,-85.50205,Yes,0.5, , , , , , , ,2019-04-29T14:20:33.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-82.671056000339533,30.240050000263334,10939,2012-07-23T00:00:00.000Z,North Central,Columbia,Hwy 41 North,Male,Juvenile,120, ,0,Bear-0000009982,Capture,2012-07-23T00:00:00.000Z,North, ,"US Hwy 41, North of Anderson",30.24005,-82.671056,Yes,1, , , , , , ,42498,2019-04-29T14:20:33.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-81.496770000031134,28.705910000157544,10940,2010-03-24T00:00:00.000Z,Northeast,Orange, ,Male,Juvenile,190, ,0,Bear-0000009983,Capture,2010-03-24T00:00:00.000Z,Central,32712,"Welch Rd., Mile East of 435 (Park Ave.), Apopka; in front of Wekiva Glen subdivision",28.70591,-81.49677,Yes,2, , , , , , ,32095,2019-04-29T14:20:33.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
