Park,Latitude,Longitude,Mortality Date,Species,Total Animals,Adult Female,Sex,Age_Class,Mortality Type,Original formatted date,Easting,Northing
Glacier National Park,51.32,-117.5,2014-07-14,Mountain Goat,1,0,FEMALE,UNKNOWN,Highway,14/07/2014,467423,5685981
Glacier National Park,51.41,-117.5,2015-06-12,Black Bear,1,0,Male,Adult,Railway,12/6/2015,466405,5695155
Glacier National Park,51.26,-117.6,2015-06-23,Mountain Goat,2,0,Unknown,Adult,Highway,23/06/2015,459448,5678719
Glacier National Park,51.26,-117.6,2015-06-26,Mountain Goat,1,0,Unknown,YOY,Highway,26/06/2015,459448,5678719
Glacier National Park,51.32,-117.5,2015-07-06,Mountain Goat,1,1,Female,Adult,Highway,6/7/2015,467059,5685909
Glacier National Park,51.26,-117.6,2015-07-10,Mountain Goat,1,0,Unknown,Adult,Highway,10/7/2015,459318,5678678
Glacier National Park,51.26,-117.6,2015-07-31,Mountain Goat,1,0,Unknown,YOY,Highway,31/07/2015,459448,5678719
Glacier National Park,51.26,-117.6,2015-08-28,Mountain Goat,1,0,Female,Junvenile,Highway,28/08/2015,459448,5678719
Glacier National Park,51.26,-117.6,2015-09-24,Mountain Goat,1,0,Female,YOY,Highway,24/09/2015,459448,5678719
Glacier National Park,51.36860392,-117.4,2015-10-07,Black Bear,1,0,Female,YLY,Highway,7/10/2015,458176,567805
Glacier National Park,51.26,-117.6,2015-10-13,Black Bear,1,0,Unknown,Unknown,Railway,13/10/2015,459448,5678719
Glacier National Park,51.37,-117.4,2015-11-01,Black Bear,1,0,Male,Adult,Railway,1/11/2015,468815,5691031
Glacier National Park,51.38,-117.5,2016-05-12,Black Bear,1,1,Female,Adult,Railway,12/5/2016,467820,5691870
Glacier National Park,51.34,-117.4,2016-06-04,Black Bear,1,0,Unknown,Adult,Railway,4/6/2016,470281,5688232
Glacier National Park,51.2,-117.7,2016-06-26,Mountain Goat,1,0,Unknown,Adult,Highway,26/06/2016,447918,5672438
Glacier National Park,51.26,-117.6,2016-06-30,Mountain Goat,1,0,Unknown,YOY,Highway,30/06/2016,459448,5678715
Glacier National Park,51.26,-117.6,2016-07-10,Black Bear,1,0,Male,Junvenile,Highway,10/7/2016,461568,5679118
Glacier National Park,51.32,-117.5,2016-07-20,Mountain Goat,1,0,Unknown,YLY,Highway,20/07/2016,466943,5685887
Glacier National Park,51.25,-117.6,2016-09-17,Black Bear,1,0,Male,Adult,Railway,17/09/2016,458659,5678110
Glacier National Park,51.38,-117.5,2016-10-23,Black Bear,3,0,Unknown,Unknown,Railway,23/10/2016,467561,5692335
Glacier National Park,51.21,-117.7,2017-06-18,Black Bear,1,0,Unknown,YOY,Highway,18/06/2017,448484,5672888
Glacier National Park,51.2,-117.7,2017-06-23,Mountain Goat,1,0,Unknown,ADULT,Highway,23/06/2017,448094,5672663
Glacier National Park,51.4,-117.5,2017-07-04,Black Bear,1,1,Female,Unknown,Highway,4/7/2017,468041,5693998
Glacier National Park,51.21,-117.7,2017-07-15,Black Bear,1,0,Male,Adult,Highway,15/07/2017,450228,5673446
Glacier National Park,51.32,-117.5,2017-08-05,Mountain Goat,1,0,Unknown,YOY,Highway,5/8/2017,467506,5686009
Glacier National Park,51.27,-117.5,2017-08-15,Grizzly Bear,1,1,Mixed group,Mixed group,Highway,15/08/2017,464867,5680029
Glacier National Park,51.38,-117.4,2017-10-29,Grizzly Bear,1,0,Male,Adult,Highway,29/10/2017,468716,5692619
