Park,Latitude,Longitude,Mortality Date,Species,Total Animals,Adult Female,Sex,Age_Class,Mortality Type,Original formatted date,Easting,Northing
Glacier National Park,51.33,-117.5,1982-07-13,Black Bear,1,1,Female,ADULT,Highway,13/07/1982,468020,5686309
Glacier National Park,51.23,-117.7,1982-07-27,Black Bear,1,0,Male,ADULT,Highway,27/07/1982,452820,5675209
Glacier National Park,51.32,-117.5,1982-07-30,Mountain Goat,1,0,Unknown,YOY,Highway,30/07/1982,467220,5686009
Glacier National Park,51.33,-117.5,1982-08-11,Mountain Goat,1,0,Unknown,YOY,Highway,11/8/1982,467520,5686109
Glacier National Park,51.45,-117.5,1982-08-13,Black Bear,1,1,Female,ADULT,Highway,13/08/1982,466820,5700309
Glacier National Park,51.33,-117.5,1982-08-17,Mountain Goat,1,0,Male,Adult,Highway,17/08/1982,468020,5686309
Glacier National Park,51.32,-117.5,1982-08-30,Mountain Goat,1,1,Female,ADULT,Highway,30/08/1982,466800,5685700
Glacier National Park,51.26,-117.6,1982-09-20,Black Bear,1,0,Male,ADULT,Highway,20/09/1982,460520,5679109
Glacier National Park,51.21,-117.7,1983-05-20,Black Bear,1,0,Unknown,ADULT,Highway,20/05/1983,449920,5673409
Glacier National Park,51.32,-117.5,1983-06-22,Mountain Goat,1,0,Unknown,YOY,Highway,22/06/1983,467520,5686009
Glacier National Park,51.33,-117.5,1983-06-25,Black Bear,1,1,Female,ADULT,Highway,25/06/1983,468220,5686409
Glacier National Park,51.33,-117.5,1983-06-26,Mountain Goat,1,1,Female,ADULT,Highway,26/06/1983,467520,5686109
Glacier National Park,51.32,-117.5,1983-07-23,Mountain Goat,1,1,Female,ADULT,Highway,23/07/1983,467520,5686009
Glacier National Park,50.87,-117.5,1984-01-12,Mountain Goat,1,1,Female,ADULT,Highway,12/1/1984,466320,5635609
Glacier National Park,51.26,-117.6,1984-06-20,Mountain Goat,1,0,Male,ADULT,Highway,20/06/1984,460020,5679109
Glacier National Park,51.33,-117.5,1984-07-02,Mountain Goat,2,2,Female,ADULT,Highway,2/7/1984,467520,5686109
Glacier National Park,51.41,-117.5,1984-07-24,Black Bear,1,0,Unknown,YOY,Highway,24/07/1984,467220,5695709
Glacier National Park,51.3,-117.5,1984-09-06,Black Bear,1,1,Female,ADULT,Highway,6/9/1984,463820,5683309
Glacier National Park,51.21,-117.7,1985-06-18,Black Bear,1,0,Unknown,YLY,Railway,18/06/1985,451320,5673909
Glacier National Park,51.32,-117.5,1985-06-28,Mountain Goat,1,0,Unknown,YLY,Highway,28/06/1985,467320,5686009
Glacier National Park,51.26,-117.6,1985-07-11,Mountain Goat,1,1,Female,ADULT,Highway,11/7/1985,459420,5678709
Glacier National Park,51.41,-117.5,1985-07-17,Black Bear,1,1,Female,ADULT,Highway,17/07/1985,467120,5695809
Glacier National Park,51.47,-117.5,1985-07-28,Black Bear,1,1,Female,ADULT,Highway,28/07/1985,466620,5702609
Glacier National Park,51.26,-117.5,1985-08-06,Black Bear,1,1,Female,ADULT,Highway,6/8/1985,464420,5679409
Glacier National Park,51.32,-117.5,1985-10-15,Black Bear,1,1,Female,ADULT,Highway,15/10/1985,465920,5685509
Glacier National Park,51.33,-117.4,1985-10-18,Black Bear,1,1,Female,ADULT,Highway,18/10/1985,469320,5686909
Glacier National Park,51.43,-117.5,1986-05-05,Black Bear,1,1,Female,ADULT,Highway,5/5/1986,466920,5697209
Glacier National Park,51.32,-117.5,1986-07-05,Mountain Goat,1,1,Female,ADULT,Highway,5/7/1986,467220,5686009
